strategy,strategy_name,timeframe,variant,cagr_pct,sharpe,mdd_pct,total_trades,win_rate_pct,profit_factor,starting_balance,finishing_balance,net_profit_pct,sortino,calmar
stoch,Stochastic,1D,long_only,39.54,0.891,-74.89,71,63.38,1.388,10000.0,73802.03,638.02,1.296,0.528
stoch,Stochastic,1D,bidirectional,24.48,0.662,-68.33,78,56.41,1.137,10000.0,37194.22,271.94,1.0,0.358
momentum_ma,Momentum MA,1h,long_only,35.93,0.748,-58.51,49,46.94,1.77,10000.0,63063.8,530.64,14.488,132587699.327
momentum_ma,Momentum MA,1h,bidirectional,-37.9,-0.749,-92.84,102,35.29,0.561,10000.0,573.7,-94.26,-7.535,-1.077
momentum_ma,Momentum MA,2h,long_only,13.9,0.51,-79.57,936,49.36,1.027,10000.0,21829.29,118.29,0.765,0.175
momentum_ma,Momentum MA,2h,bidirectional,-42.8,-0.582,-97.69,1863,38.22,0.845,10000.0,350.5,-96.5,-0.886,-0.438
momentum_ma,Momentum MA,4h,long_only,29.06,0.743,-77.45,509,50.88,1.089,10000.0,46200.93,362.01,1.116,0.375
momentum_ma,Momentum MA,4h,bidirectional,-12.2,0.058,-90.4,965,39.07,0.949,10000.0,4581.22,-54.19,0.087,-0.135
momentum_ma,Momentum MA,1D,long_only,39.99,0.916,-73.78,90,53.33,1.271,10000.0,75221.88,652.22,1.388,0.542
momentum_ma,Momentum MA,1D,bidirectional,7.14,0.409,-83.82,157,42.04,1.041,10000.0,15125.4,51.25,0.61,0.085
supertrend,Supertrend,1h,long_only,40.31,0.811,-18.51,36,44.44,2.079,10000.0,76253.46,662.53,30.473,2728570529.493
supertrend,Supertrend,1h,bidirectional,34.14,0.699,-38.18,55,40.0,1.516,10000.0,58226.73,482.27,18.763,92466046.477
supertrend,Supertrend,2h,long_only,25.4,0.836,-42.52,597,42.21,1.103,10000.0,38877.46,288.77,1.432,0.597
supertrend,Supertrend,2h,bidirectional,-0.41,0.251,-66.12,1106,38.07,0.999,10000.0,9755.27,-2.45,0.432,-0.006
supertrend,Supertrend,4h,long_only,46.08,1.248,-29.21,296,45.61,1.352,10000.0,97125.85,871.26,2.137,1.576
supertrend,Supertrend,4h,bidirectional,27.94,0.735,-46.81,538,40.33,1.087,10000.0,43843.56,338.44,1.22,0.596
supertrend,Supertrend,1D,long_only,48.87,1.288,-24.22,55,50.91,2.072,10000.0,108774.93,987.75,2.102,2.016
supertrend,Supertrend,1D,bidirectional,28.75,0.746,-50.46,86,44.19,1.333,10000.0,45524.58,355.25,1.128,0.569
tradeiq_220320,TradeIQ 220320,1h,long_only,39.96,0.797,-24.71,53,43.4,2.117,10000.0,75140.85,651.41,26.635,1768522940.554
tradeiq_220320,TradeIQ 220320,1h,bidirectional,32.59,0.681,-41.48,83,37.35,1.521,10000.0,54306.87,443.07,15.975,42792661.72
tradeiq_220320,TradeIQ 220320,2h,long_only,5.84,0.334,-35.8,1031,32.01,1.03,10000.0,14057.52,40.58,0.595,0.163
tradeiq_220320,TradeIQ 220320,2h,bidirectional,-16.34,-0.122,-79.99,1848,30.3,0.956,10000.0,3428.73,-65.71,-0.22,-0.204
tradeiq_220320,TradeIQ 220320,4h,long_only,17.91,0.694,-33.74,501,35.93,1.125,10000.0,26872.54,168.73,1.22,0.531
tradeiq_220320,TradeIQ 220320,4h,bidirectional,-3.0,0.141,-66.1,910,32.97,0.991,10000.0,8332.18,-16.68,0.237,-0.045
tradeiq_220320,TradeIQ 220320,1D,long_only,37.85,1.179,-27.76,105,40.0,1.556,10000.0,68582.03,585.82,1.986,1.362
tradeiq_220320,TradeIQ 220320,1D,bidirectional,20.06,0.627,-48.43,158,34.18,1.183,10000.0,29944.97,199.45,0.998,0.414
trendtype,TrendType,1h,long_only,27.35,0.854,-16.84,54,53.7,2.065,10000.0,42644.83,326.45,23.374,9709358.273
trendtype,TrendType,1h,bidirectional,16.45,0.551,-35.3,99,45.45,1.221,10000.0,24927.01,149.27,9.551,23188.415
trendtype,TrendType,2h,long_only,11.78,0.534,-34.97,934,41.22,1.081,10000.0,19498.67,94.99,0.918,0.336
trendtype,TrendType,2h,bidirectional,-20.19,-0.21,-87.44,1932,38.25,0.94,10000.0,2585.05,-74.15,-0.357,-0.231
trendtype,TrendType,4h,long_only,16.88,0.702,-37.21,496,43.35,1.159,10000.0,25488.56,154.89,1.193,0.453
trendtype,TrendType,4h,bidirectional,0.87,0.229,-70.28,973,39.26,1.003,10000.0,10532.88,5.33,0.366,0.012
trendtype,TrendType,1D,long_only,38.67,1.301,-23.53,73,56.16,2.178,10000.0,71076.28,610.76,2.222,1.642
trendtype,TrendType,1D,bidirectional,41.05,0.995,-39.48,144,50.0,1.426,10000.0,78719.88,687.2,1.603,1.039
supertrend_trendtype,SupertrendTrendType,1h,long_only,42.78,0.915,-14.46,26,53.85,2.725,10000.0,84668.8,746.69,41.844,9812061227.264
supertrend_trendtype,SupertrendTrendType,1h,bidirectional,41.23,0.823,-33.76,40,50.0,1.822,10000.0,79331.37,693.31,24.397,2210334545.992
supertrend_trendtype,SupertrendTrendType,2h,long_only,13.93,0.579,-43.44,455,42.64,1.088,10000.0,21865.84,118.66,0.965,0.32
supertrend_trendtype,SupertrendTrendType,2h,bidirectional,-6.87,0.105,-68.98,849,39.22,0.979,10000.0,6525.09,-34.75,0.18,-0.1
supertrend_trendtype,SupertrendTrendType,4h,long_only,32.3,1.042,-32.09,230,46.52,1.331,10000.0,53591.42,435.91,1.741,1.005
supertrend_trendtype,SupertrendTrendType,4h,bidirectional,23.54,0.683,-49.44,417,41.73,1.081,10000.0,35533.0,255.33,1.147,0.476
supertrend_trendtype,SupertrendTrendType,1D,long_only,42.29,1.242,-33.35,43,53.49,2.074,10000.0,82946.96,729.47,2.019,1.267
supertrend_trendtype,SupertrendTrendType,1D,bidirectional,21.88,0.652,-44.42,64,46.88,1.311,10000.0,32773.05,227.73,0.977,0.492
tradeiq_220323,TradeIQ 220323,1h,long_only,-0.34,0.031,-19.7,2,50.0,0.913,10000.0,9798.9,-2.01,0.374,-0.922
tradeiq_220323,TradeIQ 220323,1h,bidirectional,-3.82,-0.216,-35.15,3,33.33,0.502,10000.0,7914.06,-20.86,-2.29,-2.562
tradeiq_220323,TradeIQ 220323,2h,long_only,-0.12,0.109,-55.89,159,49.69,0.998,10000.0,9927.18,-0.73,0.161,-0.002
tradeiq_220323,TradeIQ 220323,2h,bidirectional,4.78,0.304,-62.83,241,49.79,1.038,10000.0,13233.65,32.34,0.477,0.076
tradeiq_220323,TradeIQ 220323,4h,long_only,14.91,0.795,-35.62,70,61.43,1.475,10000.0,23021.61,130.22,1.294,0.418
tradeiq_220323,TradeIQ 220323,4h,bidirectional,16.76,0.726,-32.99,124,57.26,1.306,10000.0,25337.33,153.37,1.135,0.508
tradeiq_220323,TradeIQ 220323,1D,long_only,-10.46,-0.425,-61.73,11,36.36,0.442,10000.0,5154.07,-48.46,-0.568,-0.169
tradeiq_220323,TradeIQ 220323,1D,bidirectional,-16.97,-0.528,-72.74,21,38.1,0.483,10000.0,3278.44,-67.22,-0.699,-0.233
