strategy,variant,timeframe,window_size_months,start_month,end_month,net_pnl,final_equity,n_trades,n_trades_used,liquidated,fail_strict,fail_meaningful
stoch,bidirectional,1h,3,2021-01,2021-03,4656.3626,14656.36,1,1,False,False,False
stoch,bidirectional,1h,3,2021-04,2021-06,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2021-07,2021-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2021-10,2021-12,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2022-01,2022-03,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2022-04,2022-06,3072.8294,13072.83,1,1,False,False,False
stoch,bidirectional,1h,3,2022-07,2022-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2022-10,2022-12,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2023-01,2023-03,2847.7632,12847.76,1,1,False,False,False
stoch,bidirectional,1h,3,2023-04,2023-06,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2023-07,2023-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2023-10,2023-12,2054.5036,12054.5,1,1,False,False,False
stoch,bidirectional,1h,3,2024-01,2024-03,1843.065,11843.07,1,1,False,False,False
stoch,bidirectional,1h,3,2024-04,2024-06,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2024-07,2024-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2024-10,2024-12,1887.3563,11887.36,1,1,False,False,False
stoch,bidirectional,1h,3,2025-01,2025-03,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2025-04,2025-06,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2025-07,2025-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,3,2025-10,2025-12,-309.6163,9690.38,2,2,False,True,True
stoch,bidirectional,1h,3,2026-01,2026-03,-240.0272,9759.97,1,1,False,True,True
stoch,bidirectional,1h,6,2021-01,2021-06,-803.97,9196.03,2,2,False,True,True
stoch,bidirectional,1h,6,2021-04,2021-09,-4475.4044,5524.6,1,1,False,True,True
stoch,bidirectional,1h,6,2021-07,2021-12,2808.4401,12808.44,1,1,False,False,False
stoch,bidirectional,1h,6,2021-10,2022-03,-2576.2514,7423.75,1,1,False,True,True
stoch,bidirectional,1h,6,2022-01,2022-06,6620.7421,16620.74,2,2,False,False,False
stoch,bidirectional,1h,6,2022-04,2022-09,3072.8294,13072.83,1,1,False,False,False
stoch,bidirectional,1h,6,2022-07,2022-12,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,6,2022-10,2023-03,-242.8162,9757.18,2,2,False,True,True
stoch,bidirectional,1h,6,2023-01,2023-06,2847.7632,12847.76,1,1,False,False,False
stoch,bidirectional,1h,6,2023-04,2023-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,6,2023-07,2023-12,2054.5036,12054.5,1,1,False,False,False
stoch,bidirectional,1h,6,2023-10,2024-03,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,6,2024-01,2024-06,1843.065,11843.07,1,1,False,False,False
stoch,bidirectional,1h,6,2024-04,2024-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,6,2024-07,2024-12,1887.3563,11887.36,1,1,False,False,False
stoch,bidirectional,1h,6,2024-10,2025-03,1887.3563,11887.36,1,1,False,False,False
stoch,bidirectional,1h,6,2025-01,2025-06,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,6,2025-04,2025-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,6,2025-07,2025-12,-309.6163,9690.38,2,2,False,True,True
stoch,bidirectional,1h,6,2025-10,2026-03,1577.2768,11577.28,4,4,False,False,False
stoch,bidirectional,1h,9,2021-01,2021-09,-4919.5653,5080.43,3,3,False,True,True
stoch,bidirectional,1h,9,2021-04,2021-12,-2923.8548,7076.15,2,2,False,True,True
stoch,bidirectional,1h,9,2021-07,2022-03,-491.3361,9508.66,2,2,False,True,True
stoch,bidirectional,1h,9,2021-10,2022-06,2338.8212,12338.82,3,3,False,False,False
stoch,bidirectional,1h,9,2022-01,2022-09,6620.7421,16620.74,2,2,False,False,False
stoch,bidirectional,1h,9,2022-04,2022-12,5612.5272,15612.53,2,2,False,False,False
stoch,bidirectional,1h,9,2022-07,2023-03,-242.8162,9757.18,2,2,False,True,True
stoch,bidirectional,1h,9,2022-10,2023-06,-242.8162,9757.18,2,2,False,True,True
stoch,bidirectional,1h,9,2023-01,2023-09,2847.7632,12847.76,1,1,False,False,False
stoch,bidirectional,1h,9,2023-04,2023-12,2054.5036,12054.5,1,1,False,False,False
stoch,bidirectional,1h,9,2023-07,2024-03,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,9,2023-10,2024-06,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,9,2024-01,2024-09,1843.065,11843.07,1,1,False,False,False
stoch,bidirectional,1h,9,2024-04,2024-12,1887.3563,11887.36,1,1,False,False,False
stoch,bidirectional,1h,9,2024-07,2025-03,1887.3563,11887.36,1,1,False,False,False
stoch,bidirectional,1h,9,2024-10,2025-06,4346.1073,14346.11,2,2,False,False,False
stoch,bidirectional,1h,9,2025-01,2025-09,0.0,10000.0,0,0,False,True,False
stoch,bidirectional,1h,9,2025-04,2025-12,821.9717,10821.97,3,3,False,False,False
stoch,bidirectional,1h,9,2025-07,2026-03,1577.2768,11577.28,4,4,False,False,False
stoch,bidirectional,1h,12,2021-01,2021-12,-3492.7556,6507.24,4,4,False,True,True
stoch,bidirectional,1h,12,2021-04,2022-03,-4746.8477,5253.15,3,3,False,True,True
stoch,bidirectional,1h,12,2021-07,2022-06,5804.1051,15804.11,4,4,False,False,False
stoch,bidirectional,1h,12,2021-10,2022-09,2338.8212,12338.82,3,3,False,False,False
stoch,bidirectional,1h,12,2022-01,2022-12,9849.7035,19849.7,3,3,False,False,False
stoch,bidirectional,1h,12,2022-04,2023-03,5233.4297,15233.43,4,4,False,False,False
stoch,bidirectional,1h,12,2022-07,2023-06,-242.8162,9757.18,2,2,False,True,True
stoch,bidirectional,1h,12,2022-10,2023-09,-242.8162,9757.18,2,2,False,True,True
stoch,bidirectional,1h,12,2023-01,2023-12,9297.248,19297.25,3,3,False,False,False
stoch,bidirectional,1h,12,2023-04,2024-03,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,12,2023-07,2024-06,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,12,2023-10,2024-09,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,12,2024-01,2024-12,7108.4257,17108.43,3,3,False,False,False
stoch,bidirectional,1h,12,2024-04,2025-03,1887.3563,11887.36,1,1,False,False,False
stoch,bidirectional,1h,12,2024-07,2025-06,4346.1073,14346.11,2,2,False,False,False
stoch,bidirectional,1h,12,2024-10,2025-09,4346.1073,14346.11,2,2,False,False,False
stoch,bidirectional,1h,12,2025-01,2025-12,821.9717,10821.97,3,3,False,False,False
stoch,bidirectional,1h,12,2025-04,2026-03,2929.2053,12929.21,5,5,False,False,False
stoch,bidirectional,1h,15,2021-01,2022-03,-5169.1853,4830.81,5,5,False,True,True
stoch,bidirectional,1h,15,2021-04,2022-06,-1268.871,8731.13,5,5,False,True,True
stoch,bidirectional,1h,15,2021-07,2022-09,5804.1051,15804.11,4,4,False,False,False
stoch,bidirectional,1h,15,2021-10,2022-12,4735.9209,14735.92,4,4,False,False,False
stoch,bidirectional,1h,15,2022-01,2023-03,9367.7206,19367.72,5,5,False,False,False
