strategy,variant,timeframe,window_size_months,start_month,end_month,net_pnl,final_equity,n_trades,n_trades_used,liquidated,fail_strict,fail_meaningful
stoch,bidirectional,1h,15,2022-04,2023-06,5233.4297,15233.43,4,4,False,False,False
stoch,bidirectional,1h,15,2022-07,2023-09,-242.8162,9757.18,2,2,False,True,True
stoch,bidirectional,1h,15,2022-10,2023-12,4655.2201,14655.22,4,4,False,False,False
stoch,bidirectional,1h,15,2023-01,2024-03,18175.7885,28175.79,5,5,False,False,False
stoch,bidirectional,1h,15,2023-04,2024-06,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,15,2023-07,2024-09,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,15,2023-10,2024-12,15425.8784,25425.88,5,5,False,False,False
stoch,bidirectional,1h,15,2024-01,2025-03,7108.4257,17108.43,3,3,False,False,False
stoch,bidirectional,1h,15,2024-04,2025-06,4346.1073,14346.11,2,2,False,False,False
stoch,bidirectional,1h,15,2024-07,2025-09,4346.1073,14346.11,2,2,False,False,False
stoch,bidirectional,1h,15,2024-10,2025-12,5525.3166,15525.32,5,5,False,False,False
stoch,bidirectional,1h,15,2025-01,2026-03,2929.2053,12929.21,5,5,False,False,False
stoch,bidirectional,1h,18,2021-01,2022-06,-1970.8275,8029.17,7,7,False,True,True
stoch,bidirectional,1h,18,2021-04,2022-09,-1268.871,8731.13,5,5,False,True,True
stoch,bidirectional,1h,18,2021-07,2022-12,8874.416,18874.42,5,5,False,False,False
stoch,bidirectional,1h,18,2021-10,2023-03,4378.1089,14378.11,6,6,False,False,False
stoch,bidirectional,1h,18,2022-01,2023-06,9367.7206,19367.72,5,5,False,False,False
stoch,bidirectional,1h,18,2022-04,2023-09,5233.4297,15233.43,4,4,False,False,False
stoch,bidirectional,1h,18,2022-07,2023-12,4655.2201,14655.22,4,4,False,False,False
stoch,bidirectional,1h,18,2022-10,2024-03,11397.9931,21397.99,6,6,False,False,False
stoch,bidirectional,1h,18,2023-01,2024-06,18175.7885,28175.79,5,5,False,False,False
stoch,bidirectional,1h,18,2023-04,2024-09,7600.7036,17600.7,3,3,False,False,False
stoch,bidirectional,1h,18,2023-07,2024-12,15425.8784,25425.88,5,5,False,False,False
stoch,bidirectional,1h,18,2023-10,2025-03,15425.8784,25425.88,5,5,False,False,False
stoch,bidirectional,1h,18,2024-01,2025-06,10647.0895,20647.09,4,4,False,False,False
stoch,bidirectional,1h,18,2024-04,2025-09,4346.1073,14346.11,2,2,False,False,False
stoch,bidirectional,1h,18,2024-07,2025-12,5525.3166,15525.32,5,5,False,False,False
stoch,bidirectional,1h,18,2024-10,2026-03,8548.3766,18548.38,7,7,False,False,False
stoch,bidirectional,1h,21,2021-01,2022-09,-1970.8275,8029.17,7,7,False,True,True
stoch,bidirectional,1h,21,2021-04,2022-12,427.3516,10427.35,6,6,False,False,False
stoch,bidirectional,1h,21,2021-07,2023-03,8416.1146,18416.11,7,7,False,False,False
stoch,bidirectional,1h,21,2021-10,2023-06,4378.1089,14378.11,6,6,False,False,False
stoch,bidirectional,1h,21,2022-01,2023-09,9367.7206,19367.72,5,5,False,False,False
stoch,bidirectional,1h,21,2022-04,2023-12,12880.5021,22880.5,6,6,False,False,False
stoch,bidirectional,1h,21,2022-07,2024-03,11397.9931,21397.99,6,6,False,False,False
stoch,bidirectional,1h,21,2022-10,2024-06,11397.9931,21397.99,6,6,False,False,False
stoch,bidirectional,1h,21,2023-01,2024-09,18175.7885,28175.79,5,5,False,False,False
stoch,bidirectional,1h,21,2023-04,2024-12,15425.8784,25425.88,5,5,False,False,False
stoch,bidirectional,1h,21,2023-07,2025-03,15425.8784,25425.88,5,5,False,False,False
stoch,bidirectional,1h,21,2023-10,2025-06,20684.9032,30684.9,6,6,False,False,False
stoch,bidirectional,1h,21,2024-01,2025-09,10647.0895,20647.09,4,4,False,False,False
stoch,bidirectional,1h,21,2024-04,2025-12,5525.3166,15525.32,5,5,False,False,False
stoch,bidirectional,1h,21,2024-07,2026-03,8548.3766,18548.38,7,7,False,False,False
stoch,bidirectional,1h,24,2021-01,2022-12,-410.9761,9589.02,8,8,False,True,True
stoch,bidirectional,1h,24,2021-04,2023-03,174.1587,10174.16,8,8,False,False,False
stoch,bidirectional,1h,24,2021-07,2023-06,8416.1146,18416.11,7,7,False,False,False
stoch,bidirectional,1h,24,2021-10,2023-09,4378.1089,14378.11,6,6,False,False,False
stoch,bidirectional,1h,24,2022-01,2023-12,19090.1773,29090.18,7,7,False,False,False
stoch,bidirectional,1h,24,2022-04,2024-03,23407.6749,33407.67,8,8,False,False,False
stoch,bidirectional,1h,24,2022-07,2024-06,11397.9931,21397.99,6,6,False,False,False
stoch,bidirectional,1h,24,2022-10,2024-09,11397.9931,21397.99,6,6,False,False,False
stoch,bidirectional,1h,24,2023-01,2024-12,30702.5871,40702.59,7,7,False,False,False
stoch,bidirectional,1h,24,2023-04,2025-03,15425.8784,25425.88,5,5,False,False,False
stoch,bidirectional,1h,24,2023-07,2025-06,20684.9032,30684.9,6,6,False,False,False
stoch,bidirectional,1h,24,2023-10,2025-09,20684.9032,30684.9,6,6,False,False,False
stoch,bidirectional,1h,24,2024-01,2025-12,12344.2217,22344.22,7,7,False,False,False
stoch,bidirectional,1h,24,2024-04,2026-03,8548.3766,18548.38,7,7,False,False,False
stoch,bidirectional,1h,27,2021-01,2023-03,-643.8132,9356.19,10,10,False,True,True
stoch,bidirectional,1h,27,2021-04,2023-06,174.1587,10174.16,8,8,False,False,False
stoch,bidirectional,1h,27,2021-07,2023-09,8416.1146,18416.11,7,7,False,False,False
stoch,bidirectional,1h,27,2021-10,2023-12,11595.8164,21595.82,8,8,False,False,False
stoch,bidirectional,1h,27,2022-01,2024-03,32474.3819,42474.38,9,9,False,False,False
stoch,bidirectional,1h,27,2022-04,2024-06,23407.6749,33407.67,8,8,False,False,False
stoch,bidirectional,1h,27,2022-07,2024-09,11397.9931,21397.99,6,6,False,False,False
stoch,bidirectional,1h,27,2022-10,2024-12,20911.4216,30911.42,8,8,False,False,False
stoch,bidirectional,1h,27,2023-01,2025-03,30702.5871,40702.59,7,7,False,False,False
stoch,bidirectional,1h,27,2023-04,2025-06,20684.9032,30684.9,6,6,False,False,False
stoch,bidirectional,1h,27,2023-07,2025-09,20684.9032,30684.9,6,6,False,False,False
stoch,bidirectional,1h,27,2023-10,2025-12,23207.1152,33207.12,9,9,False,False,False
stoch,bidirectional,1h,27,2024-01,2026-03,16695.0459,26695.05,9,9,False,False,False
stoch,bidirectional,1h,30,2021-01,2023-06,-643.8132,9356.19,10,10,False,True,True
stoch,bidirectional,1h,30,2021-04,2023-09,174.1587,10174.16,8,8,False,False,False
stoch,bidirectional,1h,30,2021-07,2023-12,17660.872,27660.87,9,9,False,False,False
stoch,bidirectional,1h,30,2021-10,2024-03,21531.9135,31531.91,10,10,False,False,False
stoch,bidirectional,1h,30,2022-01,2024-06,32474.3819,42474.38,9,9,False,False,False
stoch,bidirectional,1h,30,2022-04,2024-09,23407.6749,33407.67,8,8,False,False,False
stoch,bidirectional,1h,30,2022-07,2024-12,20911.4216,30911.42,8,8,False,False,False
stoch,bidirectional,1h,30,2022-10,2025-03,20911.4216,30911.42,8,8,False,False,False
stoch,bidirectional,1h,30,2023-01,2025-06,39121.4079,49121.41,8,8,False,False,False
stoch,bidirectional,1h,30,2023-04,2025-09,20684.9032,30684.9,6,6,False,False,False
stoch,bidirectional,1h,30,2023-07,2025-12,23207.1152,33207.12,9,9,False,False,False
stoch,bidirectional,1h,30,2023-10,2026-03,29673.1413,39673.14,11,11,False,False,False
stoch,bidirectional,1h,33,2021-01,2023-09,-643.8132,9356.19,10,10,False,True,True
stoch,bidirectional,1h,33,2021-04,2023-12,5281.5133,15281.51,10,10,False,False,False
stoch,bidirectional,1h,33,2021-07,2024-03,30387.4624,40387.46,11,11,False,False,False
stoch,bidirectional,1h,33,2021-10,2024-06,21531.9135,31531.91,10,10,False,False,False
stoch,bidirectional,1h,33,2022-01,2024-09,32474.3819,42474.38,9,9,False,False,False
stoch,bidirectional,1h,33,2022-04,2024-12,38260.5409,48260.54,10,10,False,False,False
stoch,bidirectional,1h,33,2022-07,2025-03,20911.4216,30911.42,8,8,False,False,False
stoch,bidirectional,1h,33,2022-10,2025-06,27305.0624,37305.06,9,9,False,False,False
stoch,bidirectional,1h,33,2023-01,2025-09,39121.4079,49121.41,8,8,False,False,False
stoch,bidirectional,1h,33,2023-04,2025-12,23207.1152,33207.12,9,9,False,False,False
stoch,bidirectional,1h,33,2023-07,2026-03,29673.1413,39673.14,11,11,False,False,False
stoch,bidirectional,1h,36,2021-01,2023-12,4052.9255,14052.93,12,12,False,False,False
stoch,bidirectional,1h,36,2021-04,2024-03,12312.4398,22312.44,12,12,False,False,False
stoch,bidirectional,1h,36,2021-07,2024-06,30387.4624,40387.46,11,11,False,False,False
stoch,bidirectional,1h,36,2021-10,2024-09,21531.9135,31531.91,10,10,False,False,False
stoch,bidirectional,1h,36,2022-01,2024-12,51358.2554,61358.26,11,11,False,False,False
stoch,bidirectional,1h,36,2022-04,2025-03,38260.5409,48260.54,10,10,False,False,False
stoch,bidirectional,1h,36,2022-07,2025-06,27305.0624,37305.06,9,9,False,False,False
stoch,bidirectional,1h,36,2022-10,2025-09,27305.0624,37305.06,9,9,False,False,False
stoch,bidirectional,1h,36,2023-01,2025-12,43159.0484,53159.05,11,11,False,False,False
stoch,bidirectional,1h,36,2023-04,2026-03,29673.1413,39673.14,11,11,False,False,False
stoch,bidirectional,1h,39,2021-01,2024-03,10518.5866,20518.59,14,14,False,False,False
stoch,bidirectional,1h,39,2021-04,2024-06,12312.4398,22312.44,12,12,False,False,False
stoch,bidirectional,1h,39,2021-07,2024-09,30387.4624,40387.46,11,11,False,False,False
stoch,bidirectional,1h,39,2021-10,2024-12,35550.8265,45550.83,12,12,False,False,False
stoch,bidirectional,1h,39,2022-01,2025-03,51358.2554,61358.26,11,11,False,False,False
stoch,bidirectional,1h,39,2022-04,2025-06,48242.63,58242.63,11,11,False,False,False
stoch,bidirectional,1h,39,2022-07,2025-09,27305.0624,37305.06,9,9,False,False,False
stoch,bidirectional,1h,39,2022-10,2025-12,30371.4328,40371.43,12,12,False,False,False
stoch,bidirectional,1h,39,2023-01,2026-03,53510.0768,63510.08,13,13,False,False,False
stoch,bidirectional,1h,42,2021-01,2024-06,10518.5866,20518.59,14,14,False,False,False
stoch,bidirectional,1h,42,2021-04,2024-09,12312.4398,22312.44,12,12,False,False,False
stoch,bidirectional,1h,42,2021-07,2024-12,48343.5031,58343.5,13,13,False,False,False
stoch,bidirectional,1h,42,2021-10,2025-03,35550.8265,45550.83,12,12,False,False,False
stoch,bidirectional,1h,42,2022-01,2025-06,64049.4427,74049.44,12,12,False,False,False
stoch,bidirectional,1h,42,2022-04,2025-09,48242.63,58242.63,11,11,False,False,False
stoch,bidirectional,1h,42,2022-07,2025-12,30371.4328,40371.43,12,12,False,False,False
stoch,bidirectional,1h,42,2022-10,2026-03,38232.4811,48232.48,14,14,False,False,False
stoch,bidirectional,1h,45,2021-01,2024-09,10518.5866,20518.59,14,14,False,False,False
stoch,bidirectional,1h,45,2021-04,2024-12,22232.4263,32232.43,14,14,False,False,False
stoch,bidirectional,1h,45,2021-07,2025-03,48343.5031,58343.5,13,13,False,False,False
stoch,bidirectional,1h,45,2021-10,2025-06,44972.445,54972.44,13,13,False,False,False
stoch,bidirectional,1h,45,2022-01,2025-09,64049.4427,74049.44,12,12,False,False,False
stoch,bidirectional,1h,45,2022-04,2025-12,53030.0091,63030.01,14,14,False,False,False
stoch,bidirectional,1h,45,2022-07,2026-03,38232.4811,48232.48,14,14,False,False,False
stoch,bidirectional,1h,48,2021-01,2024-12,19641.0359,29641.04,16,16,False,False,False
stoch,bidirectional,1h,48,2021-04,2025-03,22232.4263,32232.43,14,14,False,False,False
stoch,bidirectional,1h,48,2021-07,2025-06,60411.1267,70411.13,14,14,False,False,False
stoch,bidirectional,1h,48,2021-10,2025-09,44972.445,54972.44,13,13,False,False,False
stoch,bidirectional,1h,48,2022-01,2025-12,70136.0971,80136.1,15,15,False,False,False
stoch,bidirectional,1h,48,2022-04,2026-03,65303.0921,75303.09,16,16,False,False,False
stoch,bidirectional,1h,51,2021-01,2025-03,19641.0359,29641.04,16,16,False,False,False
stoch,bidirectional,1h,51,2021-04,2025-06,28899.3003,38899.3,15,15,False,False,False
stoch,bidirectional,1h,51,2021-07,2025-09,60411.1267,70411.13,14,14,False,False,False
stoch,bidirectional,1h,51,2021-10,2025-12,49491.0242,59491.02,16,16,False,False,False
stoch,bidirectional,1h,51,2022-01,2026-03,85740.0448,95740.04,17,17,False,False,False
stoch,bidirectional,1h,54,2021-01,2025-06,25771.9133,35771.91,17,17,False,False,False
stoch,bidirectional,1h,54,2021-04,2025-09,28899.3003,38899.3,15,15,False,False,False
stoch,bidirectional,1h,54,2021-07,2025-12,66198.7217,76198.72,17,17,False,False,False
stoch,bidirectional,1h,54,2021-10,2026-03,61075.0028,71075.0,18,18,False,False,False
stoch,bidirectional,1h,57,2021-01,2025-09,25771.9133,35771.91,17,17,False,False,False
stoch,bidirectional,1h,57,2021-04,2025-12,32096.7126,42096.71,18,18,False,False,False
stoch,bidirectional,1h,57,2021-07,2026-03,81035.9913,91035.99,19,19,False,False,False
stoch,bidirectional,1h,60,2021-01,2025-12,28712.2632,38712.26,20,20,False,False,False
stoch,bidirectional,1h,60,2021-04,2026-03,40293.704,50293.7,20,20,False,False,False
stoch,bidirectional,1h,63,2021-01,2026-03,36250.2412,46250.24,22,22,False,False,False
stoch,bidirectional,4h,3,2021-01,2021-03,2347.3356,12347.34,16,16,False,False,False
stoch,bidirectional,4h,3,2021-04,2021-06,-1905.1121,8094.89,18,18,False,True,True
stoch,bidirectional,4h,3,2021-07,2021-09,2951.7572,12951.76,12,12,False,False,False
stoch,bidirectional,4h,3,2021-10,2021-12,1000.3185,11000.32,15,15,False,False,False
stoch,bidirectional,4h,3,2022-01,2022-03,3615.7602,13615.76,15,15,False,False,False
stoch,bidirectional,4h,3,2022-04,2022-06,4597.5728,14597.57,16,16,False,False,False
stoch,bidirectional,4h,3,2022-07,2022-09,-3194.5099,6805.49,19,19,False,True,True
stoch,bidirectional,4h,3,2022-10,2022-12,128.7483,10128.75,20,20,False,False,False
stoch,bidirectional,4h,3,2023-01,2023-03,6129.5539,16129.55,21,21,False,False,False
stoch,bidirectional,4h,3,2023-04,2023-06,-935.5428,9064.46,14,14,False,True,True
stoch,bidirectional,4h,3,2023-07,2023-09,-928.3271,9071.67,15,15,False,True,True
stoch,bidirectional,4h,3,2023-10,2023-12,860.6053,10860.61,20,20,False,False,False
stoch,bidirectional,4h,3,2024-01,2024-03,4700.1141,14700.11,18,18,False,False,False
stoch,bidirectional,4h,3,2024-04,2024-06,-1656.9716,8343.03,17,17,False,True,True
stoch,bidirectional,4h,3,2024-07,2024-09,1686.9573,11686.96,21,21,False,False,False
stoch,bidirectional,4h,3,2024-10,2024-12,-1724.7535,8275.25,20,20,False,True,True
stoch,bidirectional,4h,3,2025-01,2025-03,-2565.7433,7434.26,19,19,False,True,True
stoch,bidirectional,4h,3,2025-04,2025-06,728.6762,10728.68,13,13,False,False,False
stoch,bidirectional,4h,3,2025-07,2025-09,961.6531,10961.65,16,16,False,False,False
stoch,bidirectional,4h,3,2025-10,2025-12,-1573.8059,8426.19,18,18,False,True,True
stoch,bidirectional,4h,3,2026-01,2026-03,-2881.007,7118.99,21,21,False,True,True
stoch,bidirectional,4h,6,2021-01,2021-06,-538.148,9461.85,35,35,False,True,True
stoch,bidirectional,4h,6,2021-04,2021-09,1082.9393,11082.94,31,31,False,False,False
stoch,bidirectional,4h,6,2021-07,2021-12,2840.0205,12840.02,28,28,False,False,False
stoch,bidirectional,4h,6,2021-10,2022-03,5868.6206,15868.62,31,31,False,False,False
stoch,bidirectional,4h,6,2022-01,2022-06,8966.6779,18966.68,32,32,False,False,False
stoch,bidirectional,4h,6,2022-04,2022-09,-794.0648,9205.94,36,36,False,True,True
stoch,bidirectional,4h,6,2022-07,2022-12,-3420.5105,6579.49,40,40,False,True,True
stoch,bidirectional,4h,6,2022-10,2023-03,6033.5695,16033.57,42,42,False,False,False
stoch,bidirectional,4h,6,2023-01,2023-06,5199.6676,15199.67,36,36,False,False,False
stoch,bidirectional,4h,6,2023-04,2023-09,-1457.9135,8542.09,30,30,False,True,True
stoch,bidirectional,4h,6,2023-07,2023-12,-366.9444,9633.06,36,36,False,True,True
stoch,bidirectional,4h,6,2023-10,2024-03,5312.9499,15312.95,39,39,False,False,False
stoch,bidirectional,4h,6,2024-01,2024-06,1760.9615,11760.96,36,36,False,False,False
stoch,bidirectional,4h,6,2024-04,2024-09,-549.1773,9450.82,39,39,False,True,True
stoch,bidirectional,4h,6,2024-07,2024-12,102.2524,10102.25,42,42,False,False,False
stoch,bidirectional,4h,6,2024-10,2025-03,-4050.8159,5949.18,40,40,False,True,True
stoch,bidirectional,4h,6,2025-01,2025-06,-1626.6579,8373.34,33,33,False,True,True
stoch,bidirectional,4h,6,2025-04,2025-09,1494.3144,11494.31,30,30,False,False,False
stoch,bidirectional,4h,6,2025-07,2025-12,-405.7303,9594.27,35,35,False,True,True
stoch,bidirectional,4h,6,2025-10,2026-03,-4151.0698,5848.93,40,40,False,True,True
stoch,bidirectional,4h,9,2021-01,2021-09,2954.4884,12954.49,48,48,False,False,False
stoch,bidirectional,4h,9,2021-04,2021-12,987.3252,10987.33,47,47,False,False,False
stoch,bidirectional,4h,9,2021-07,2022-03,8522.5014,18522.5,44,44,False,False,False
stoch,bidirectional,4h,9,2021-10,2022-06,12104.8998,22104.9,48,48,False,False,False
stoch,bidirectional,4h,9,2022-01,2022-09,1961.3042,11961.3,52,52,False,False,False
stoch,bidirectional,4h,9,2022-04,2022-12,-1099.7807,8900.22,57,57,False,True,True
stoch,bidirectional,4h,9,2022-07,2023-03,415.1767,10415.18,62,62,False,False,False
stoch,bidirectional,4h,9,2022-10,2023-06,5109.2167,15109.22,57,57,False,False,False
stoch,bidirectional,4h,9,2023-01,2023-09,4323.7341,14323.73,52,52,False,False,False
stoch,bidirectional,4h,9,2023-04,2023-12,-929.3033,9070.7,51,51,False,True,True
stoch,bidirectional,4h,9,2023-07,2024-03,3582.1618,13582.16,55,55,False,False,False
stoch,bidirectional,4h,9,2023-10,2024-06,2251.2664,12251.27,57,57,False,False,False
stoch,bidirectional,4h,9,2024-01,2024-09,3322.5919,13322.59,58,58,False,False,False
stoch,bidirectional,4h,9,2024-04,2024-12,-1830.6712,8169.33,60,60,False,True,True
stoch,bidirectional,4h,9,2024-07,2025-03,-2737.3571,7262.64,62,62,False,True,True
stoch,bidirectional,4h,9,2024-10,2025-06,-3299.3228,6700.68,54,54,False,True,True
stoch,bidirectional,4h,9,2025-01,2025-09,-1029.1051,8970.89,50,50,False,True,True
stoch,bidirectional,4h,9,2025-04,2025-12,60.4856,10060.49,49,49,False,False,False
stoch,bidirectional,4h,9,2025-07,2026-03,-3340.2657,6659.73,57,57,False,True,True
stoch,bidirectional,4h,12,2021-01,2021-12,2842.7282,12842.73,64,64,False,False,False
stoch,bidirectional,4h,12,2021-04,2022-03,5849.877,15849.88,63,63,False,False,False
stoch,bidirectional,4h,12,2021-07,2022-06,15801.7409,25801.74,61,61,False,False,False
stoch,bidirectional,4h,12,2021-10,2022-09,3940.4187,13940.42,68,68,False,False,False
stoch,bidirectional,4h,12,2022-01,2022-12,1564.0865,11564.09,73,73,False,False,False
stoch,bidirectional,4h,12,2022-04,2023-03,4088.8372,14088.84,79,79,False,False,False
stoch,bidirectional,4h,12,2022-07,2023-06,-185.2696,9814.73,77,77,False,True,True
stoch,bidirectional,4h,12,2022-10,2023-09,4238.4959,14238.5,73,73,False,False,False
stoch,bidirectional,4h,12,2023-01,2023-12,5210.1303,15210.13,73,73,False,False,False
stoch,bidirectional,4h,12,2023-04,2024-03,2789.2618,12789.26,70,70,False,False,False
stoch,bidirectional,4h,12,2023-07,2024-06,866.5334,10866.53,73,73,False,False,False
