opened_at,closed_at,side,entry_price,exit_price,qty,pnl,fee
1521561600000.0,1527523200000.0,long,8513.97,7220.12,1.1158131870326065,-1453.350859851514,9.655967809376826
1527782400000.0,1528905600000.0,long,7558.63,6366.31,1.0741783475498947,-1288.9911553221025,8.226827971412288
1529424000000.0,1532426400000.0,long,6739.04,8024.96,1.023109387328917,1307.3289705070129,8.307852846988272
1532426400000.0,1533549600000.0,long,8024.96,6963.47,1.013928743266848,-1084.6336816867201,8.358459996393718
1534500000000.0,1542200400000.0,long,6490.74,5863.94,1.0948421304757765,-693.6865806771175,7.439533294900557
1543435200000.0,1544558400000.0,long,4332.17,3370.2799999999997,1.4882456963418056,-1437.8333787893032,6.3047259350833675
1545076800000.0,1550520000000.0,long,3535.61,3895.0,1.437203664564599,510.6430100507983,5.873614957072695
1550520000000.0,1554170400000.0,long,3895.0000000000005,4159.2,1.4291405668856225,371.24811659658496,6.3308211745956005
1554170400000.0,1554256800000.0,long,4159.2,4935.43,1.423155467105755,1097.5772784083085,7.1186898231922076
1554256800000.0,1556071200000.0,long,4935.43,5497.75,1.4105937341374812,785.1107304958673,8.094338084320668
1556071200000.0,1557453600000.0,long,5497.75,6223.82,1.4019811426938698,1008.8980672192162,9.038381056521402
1557453600000.0,1557626400000.0,long,6223.82,7159.669999999999,1.392423783320128,1292.850278241236,10.249519378904905
1557626400000.0,1558958400000.0,long,7159.67,8686.99,1.381963520027132,2098.6557950889887,12.044728318850234
1558958400000.0,1561204800000.0,long,8686.99,10867.04,1.368497691463579,2968.675587572581,14.717804702595263
1561204800000.0,1569355200000.0,long,10867.04,8367.78,1.3534842578071993,-3397.027780506686,14.318714339465291
1570564800000.0,1576368000000.0,long,8163.38,7064.05,1.4064261589537417,-1557.905410059717,11.778940737100335
1576713600000.0,1579046400000.0,long,7277.83,8825.0,1.3741982208876908,2113.9475972253176,12.170664185491315
1579046400000.0,1581206400000.0,long,8825.0,9906.43,1.360842068587775,1457.6356533610337,14.01978487184391
1581206400000.0,1583020800000.0,long,9906.43,8531.98,1.3520698299972944,-1872.0638876705486,13.711509830766229
1583193600000.0,1584057600000.0,long,8919.7,4764.65,1.3022550570863451,-5420.736157641361,9.80128269474174
1584662400000.0,1587686400000.0,long,6159.6,7483.35,1.0497475620062637,1381.7264257802012,7.8769094255903465
1587686400000.0,1588204800000.0,long,7483.35,8784.2,1.0394629661080896,1342.8851657858374,9.30023367587141
1588204800000.0,1595462400000.0,long,8784.2,9518.25,1.030760467079702,746.2537278089679,10.375993050886592
1595462400000.0,1595894400000.0,long,9518.25,11047.58,1.025750231013058,1557.1081281147883,11.602472680411402
1595894400000.0,1603324800000.0,long,11047.58,12796.07,1.0176527219580294,1766.0101023882414,13.345505428153013
1603324800000.0,1604620800000.0,long,12796.07,15598.75,1.009709188470985,2814.1229674814217,15.768780862438833
1604620800000.0,1605916800000.0,long,15598.75,18664.31,0.9996779405032628,3045.734093398307,18.838613890876847
