timestamp_ms,rate
1680336000000,-1.6e-05
1680364800000,1e-06
1680393600000,1.6e-05
1680422400000,4.3e-05
1680451200000,4.8e-05
1680480000000,9.3e-05
1680508800000,4.4e-05
1680537600000,2.3e-05
1680566400000,-5e-06
1680595200000,-8e-06
1680624000000,-1.8e-05
1680652800000,-8.3e-05
1680681600000,0.0001
1680710400000,0.0001
1680739200000,3.4e-05
1680768000000,1.1e-05
1680796800000,-4e-06
1680825600000,7.4e-05
1680854400000,9.2e-05
1680883200000,4e-05
1680912000000,5.4e-05
1680940800000,4.4e-05
1680969600000,5.4e-05
1680998400000,8.2e-05
1681027200000,1.4e-05
1681056000000,6.2e-05
1681084800000,2.9e-05
1681113600000,-5.1e-05
1681142400000,-3e-06
1681171200000,-6e-06
1681200000000,0.0001
1681228800000,0.0001
1681257600000,0.0001
1681286400000,0.0001
1681315200000,6.3e-05
1681344000000,5.9e-05
1681372800000,0.0001
1681401600000,0.0001
1681430400000,0.0001
1681459200000,0.0001
1681488000000,0.0001
1681516800000,4e-06
1681545600000,0.0001
1681574400000,0.0001
1681603200000,0.0001
1681632000000,0.0001
1681660800000,0.0001
1681689600000,0.0001
1681718400000,0.0001
1681747200000,0.0001
1681776000000,0.0001
1681804800000,0.0001
1681833600000,0.0001
1681862400000,0.0001
1681891200000,0.0001
1681920000000,0.0001
1681948800000,0.0001
1681977600000,0.0001
1682006400000,0.0001
1682035200000,0.0001
1682064000000,0.0001
1682092800000,0.0001
1682121600000,0.0001
1682150400000,0.0001
1682179200000,0.0001
1682208000000,0.0001
1682236800000,0.0001
1682265600000,8.7e-05
1682294400000,0.0001
1682323200000,0.0001
1682352000000,3.7e-05
1682380800000,7.7e-05
1682409600000,0.0001
1682438400000,7.5e-05
1682467200000,-1e-06
1682496000000,1.5e-05
1682524800000,5.9e-05
1682553600000,0.0001
1682582400000,8.9e-05
1682611200000,5.1e-05
1682640000000,5.4e-05
1682668800000,0.0001
1682697600000,8.6e-05
1682726400000,6.1e-05
1682755200000,-4.2e-05
1682784000000,1e-05
1682812800000,1e-06
1682841600000,2e-06
1682870400000,-3.6e-05
1682899200000,8.6e-05
1682928000000,5.3e-05
1682956800000,1e-06
1682985600000,0.0001
1683014400000,5.1e-05
1683043200000,4.9e-05
1683072000000,-4.6e-05
1683100800000,0.0001
1683129600000,0.0001
1683158400000,0.0001
1683187200000,0.0001
1683216000000,0.0001
1683244800000,4.3e-05
1683273600000,0.0001
1683302400000,0.0001
1683331200000,0.0001
1683360000000,0.0001
1683388800000,0.0001
1683417600000,9.6e-05
1683446400000,-4e-06
1683475200000,3.1e-05
1683504000000,8.7e-05
1683532800000,8.9e-05
1683561600000,7.1e-05
1683590400000,0.0001
1683619200000,8.5e-05
1683648000000,8.4e-05
1683676800000,7.9e-05
1683705600000,5e-05
1683734400000,-1.6e-05
1683763200000,-1.4e-05
