combo_id,st_factor,st_period,fast_ema_len,slow_ema_len,direction_ema_len,atr_mult,mean_cagr,std_cagr,n_positive,worst_window,worst_mdd,worst_mdd_recent,mean_cagr_recent,plateau_quality,plateau_score,safety_score,sweet_spot_score,cross_val_status,cross_validated,v4_combo_id,v4_mean_cagr,v4_v5_2_drift,v5_combo_id,v5_mean_cagr,v5_v5_2_drift
173,2.4,8,7,27,230,3.2,194.6358083383957,150.89972018582608,8,23.985906907139352,-98.63692455443514,-47.672473966197884,24.287302868259395,PLATEAU,96.28,93.28278890255999,95.29,NEW,False,,,,,,
176,2.4,8,7,27,250,3.2,203.3360148270911,152.18972140873095,8,17.790484006796813,-98.63692455443514,-42.40849833324947,32.77676718880627,PLATEAU,95.96,90.23131130522069,94.81,NEW,False,,,,,,
164,2.4,8,7,25,230,3.2,157.2992559832675,112.35874834686169,8,15.321997708195667,-94.42944414309082,-49.743175149655556,19.0585756220523,PLATEAU,106.83,89.0609722277569,94.09,NEW,False,,,,,,
167,2.4,8,7,25,250,3.2,167.8953796208102,128.01086071404885,8,16.169476685260165,-94.42944414309082,-43.60702591401607,26.972861304998087,PLATEAU,103.51,89.39630970996785,93.95,NEW,False,,,,,,
245,2.4,9,7,25,230,3.2,165.81616700440773,122.26393753315774,8,12.890713442669654,-90.05310256792998,-49.75334163101531,13.698716056435655,PLATEAU,105.31,87.80157156562969,93.83,NEW,False,,,,,,
254,2.4,9,7,27,230,3.2,201.56719924474183,159.82223570887908,8,13.852575595983808,-94.31542019133141,-47.681295323397016,18.48397354972635,PLATEAU,94.58,88.18748401609452,93.26,NEW,False,,,,,,
175,2.4,8,7,27,250,3.1,193.00177402706225,143.93089282550758,8,18.276249567942248,-96.60579907171747,-42.40849833324947,33.0682638865303,PLATEAU,94.31,90.47905841009019,93.22,NEW,False,,,,,,
166,2.4,8,7,25,250,3.1,164.9288529192733,127.38259138314392,8,16.77723233406587,-92.83566420750931,-43.60702591401607,27.298324439197664,PLATEAU,101.89,89.68336807252054,93.12,NEW,False,,,,,,
272,2.4,9,8,25,230,3.2,194.21965086209636,153.86072817871928,8,14.795779681492704,-95.55257081166684,-50.82569916354813,17.975305617923254,PLATEAU,95.56,88.6601979889081,93.11,NEW,False,,,,,,
191,2.4,8,8,25,230,3.2,187.42346293325554,145.63222958303425,8,14.99211140967327,-99.83166700063137,-50.816972558553694,23.815690917765842,PLATEAU,96.9,88.78301988488026,93.02,NEW,False,,,,,,
244,2.4,9,7,25,230,3.1,162.79573350482377,121.91663878030445,8,13.248734559407072,-88.43075650450379,-49.748282411055285,14.003271035707876,PLATEAU,103.03,87.95967093582043,92.68,NEW,False,,,,,,
596,2.5,9,8,25,230,3.2,181.16342181567836,149.5417002532863,8,11.230908565865283,-101.22070566664195,-53.272962961011494,12.531597430584508,PLATEAU,99.4,86.82691183295938,92.61,NEW,False,,,,,,
569,2.5,9,7,25,230,3.2,155.20261641024328,115.78410572991226,8,9.553621251937594,-95.85298394506329,-52.12933727353369,10.443650767101786,PLATEAU,106.35,86.11725900126032,92.51,NEW,False,,,,,,
92,2.4,7,7,27,230,3.2,196.07499041618135,154.93382025495617,8,15.230767441217207,-98.03104724420018,-47.67749313990563,19.196783339111747,PLATEAU,93.17,88.88092400157196,92.43,NEW,False,,,,,,
174,2.4,8,7,27,250,3.0,178.14180901013913,135.84663236453906,8,12.908890954991925,-96.13040816757612,-43.47029738944904,32.84463316105393,PLATEAU,98.47,87.76579052823011,92.31,NEW,False,,,,,,
248,2.4,9,7,25,250,3.2,176.60156833474056,136.92355570723484,8,6.782289827411003,-90.05310256792998,-43.872125992557066,21.796756662707374,PLATEAU,101.87,84.6809271387037,92.28,NEW,False,,,,,,
1056,2.7,7,7,25,250,3.0,160.6053978870109,146.60442595921225,8,18.01487112231568,-85.61923821045458,-44.46115148265625,19.01563126881178,PLATEAU,100.33,90.10293726130223,92.23,NEW,False,,,,,,
95,2.4,7,7,27,250,3.2,204.8683145935625,156.2352041904764,8,8.941005108617306,-98.03104724420018,-42.14150503256743,27.86390731916837,PLATEAU,93.48,85.7817839371127,92.19,NEW,False,,,,,,
740,2.6,7,7,27,230,3.2,173.99695937369444,143.66217133533075,8,13.32065845707968,-97.08913224485742,-50.1612275287379,14.93542883307629,PLATEAU,98.72,87.87148285204701,92.04,NEW,False,,,,,,
110,2.4,7,8,25,230,3.2,188.7406056426113,149.31178208356582,8,14.99211140967327,-99.23624830903417,-50.82209002459961,18.692961580941837,PLATEAU,93.9,88.76012611514744,91.94,NEW,False,,,,,,
